5.71	4655 	120 	1.2
5.72	1889 	230 	2.3
5.73	-4847 	380 	3.8
5.74	-18705 	560 	5.6
5.75	-26208 	760 	7.6
5.76	-26443 	960 	9.6
5.77	-26943 	1180 	11.8
5.78	-27208 	1420 	14.2
5.79	-27502 	1670 	16.7
5.8	-27826 	1920 	19.2
5.81	-27944 	2180 	21.8
5.82	-28238 	2440 	24.4
5.83	-28297 	2690 	26.9
5.84	-28414 	2940 	29.4
5.85	-28326 	3180 	31.8
5.86	-28208 	3410 	34.1
5.87	-28002 	3640 	36.4
5.88	-27826 	3860 	38.6
5.89	-27649 	4060 	40.6
5.9	-27296 	4240 	42.4
5.91	-27061 	4410 	44.1
5.92	-26620 	4560 	45.6
5.93	-26178 	4570 	45.7
5.94	-25913 	4810 	48.1
5.95	-25443 	4900 	49
5.96	-24854 	4970 	49.7
5.97	-24472 	4720 	47.2
5.98	-23442 	5020 	50.2
5.99	-22559 	4680 	46.8
6	-20059 	4750 	47.5
6.01	-11497 	4790 	47.9
6.02	-3259 	4830 	48.3
6.03	1213 	4790 	47.9
6.04	6391 	4620 	46.2
6.05	20484 	4430 	44.3
6.06	21043 	4230 	42.3
6.07	21602 	4000 	40
6.08	21867 	3770 	37.7
6.09	22220 	3530 	35.3
6.1	22308 	3250 	32.5
6.11	22485 	3030 	30.3
6.12	22573 	2780 	27.8
6.13	22661 	2530 	25.3
6.14	22691 	2280 	22.8
6.15	22720 	2030 	20.3
6.16	22691 	1790 	17.9
6.17	22661 	1560 	15.6
6.18	22338 	1340 	13.4
6.19	22220 	1130 	11.3
6.2	21955 	940 	9.4
6.21	21749 	770 	7.7
6.22	21337 	620 	6.2
6.23	21161 	490 	4.9
6.24	20955 	380 	3.8
6.25	20307 	310 	3.1
6.26	19837 	250 	2.5
6.27	18719 	210 	2.1
6.28	18248 	180 	1.8
6.29	17454 	160 	1.6
6.3	17071 	140 	1.4
6.31	16718 	130 	1.3
6.32	15953 	120 	1.2
6.33	15541 	120 	1.2
6.34	14541 	110 	1.1
6.35	13952 	110 	1.1
6.36	12746 	110 	1.1
6.37	12040 	110 	1.1
6.38	11246 	110 	1.1
6.39	9539 	110 	1.1
6.4	8862 	100 	1
6.41	7656 	100 	1
6.42	7126 	100 	1
6.43	6656 	100 	1
6.44	5802 	100 	1
6.45	5449 	100 	1
6.46	5096 	100 	1
6.47	4508 	100 	1
6.48	4243 	100 	1
6.49	4008 	100 	1
6.5	3596 	100 	1
6.51	3419 	100 	1
6.52	3243 	100 	1
6.53	2949 	100 	1
6.54	2801 	100 	1
6.55	2684 	100 	1
6.56	2448 	100 	1
6.57	2331 	100 	1
6.58	2242 	100 	1
6.59	2066 	100 	1
6.6	1978 	100 	1
6.61	1889 	100 	1
6.62	1713 	100 	1
6.63	1625 	100 	1
6.64	1566 	100 	1
6.65	1419 	100 	1
